codigo,nombre_barrio,comuna,listing_count,area_km2,density_per_km2
1421,Patio Bonito,EL POBLADO,93.0,0.6913474278739958,134.51991900221557
1404,Castropol,EL POBLADO,20.0,0.6050651918116758,33.0542894727035
1411,Los Balsos No.1,EL POBLADO,149.0,1.4166583549923688,105.1770876689621
1406,Las Lomas No.1,EL POBLADO,287.0,0.4943810930810547,580.5238186019096
1408,Altos del Poblado,EL POBLADO,35.0,0.9560707380705008,36.60816988357518
1414,El Castillo,EL POBLADO,16.0,0.724396496689442,22.08735143408542
1410,Los Naranjos,EL POBLADO,47.0,0.9468381978269161,49.63889301030469
1419,Manila,EL POBLADO,259.0,0.2809807233836865,921.771418626212
1415,Los Balsos No.2,EL POBLADO,17.0,0.48023873219819124,35.39906063425183
1420,Astorga,EL POBLADO,112.0,0.22497750664060157,497.8275458395867
1422,La Aguacatala,EL POBLADO,95.0,0.6718859832053218,141.3930374716106
1405,Lalinde,EL POBLADO,60.0,0.2361301880596891,254.0971169041426
1401,Barrio Colombia,EL POBLADO,2.0,0.3937691097473189,5.079118576069609
1416,Alejandría,EL POBLADO,133.0,0.44003220614726735,302.25060380123256
1417,La Florida,EL POBLADO,269.0,0.7772375250694927,346.09754588978285
1418,El Poblado,EL POBLADO,435.0,0.2542508809775411,1710.9085259705555
1403,Villa Carlota,EL POBLADO,70.0,0.9356686950513733,74.81280539812933
1423,Santa María de los Ángeles,EL POBLADO,29.0,0.5431899839936879,53.388318736630076
1413,El Diamante No. 2,EL POBLADO,41.0,0.7622301374613736,53.78952889025291
1407,Las Lomas No.2,EL POBLADO,76.0,0.32691320800694257,232.47760610022831
1412,San Lucas,EL POBLADO,54.0,1.1979316941751224,45.07769538327774
1409,El Tesoro,EL POBLADO,178.0,1.1507809429918838,154.6775701179259
0109,Aldea Pablo VI,POPULAR,0.0,0.055347626313596965,0.0
0110,La Esperanza No. 2,POPULAR,1.0,0.062270343970862424,16.05900877097966
0112,Carpinelo,POPULAR,0.0,0.37997104757157874,0.0
0104,Granizal,POPULAR,0.0,0.24905409294133946,0.0
0103,Popular,POPULAR,0.0,0.43283207448005073,0.0
0101,Santo Domingo Savio No. 1,POPULAR,0.0,0.5637861249667874,0.0
0105,Moscu No. 2,POPULAR,0.0,0.3065478341550409,0.0
0102,Santo Domingo Savio No. 2,POPULAR,0.0,0.2591489798802469,0.0
0111,La Avanzada,POPULAR,1.0,0.26496682511266495,3.774057373313795
0107,San Pablo,POPULAR,0.0,0.2160051436635841,0.0
0108,El Compromiso,POPULAR,0.0,0.0888881199004418,0.0
0106,Villa Guadalupe,POPULAR,0.0,0.22959262781609746,0.0
1602,Rosales,BELEN,132.0,0.5987362087240596,220.4643682420667
1620,El Nogal-Los Almendros,BELEN,63.0,0.1909404227257664,329.9458496040005
1615,Los Alpes,BELEN,23.0,0.26268689820734675,87.55670784100317
1617,Las Mercedes,BELEN,3.0,0.35875742311304765,8.362196310721837
1610,El Rincon,BELEN,7.0,0.6507398693138882,10.756986516563824
1607,Diego Echavarria,BELEN,2.0,0.27100569897261934,7.379918605335554
1609,La Hondonada,BELEN,9.0,0.4348016138275965,20.69909520521834
1604,Granada,BELEN,5.0,0.18258607956775436,27.38434393156786
1619,Miravalle,BELEN,17.0,0.14170154554896341,119.97046280716702
1621,Cerro Nutibara,BELEN,13.0,0.5682294717455371,22.87808120910283
1606,Las Playas,BELEN,8.0,0.3380031758031374,23.668416667952926
1611,Loma de los Bernal,BELEN,7.0,0.46606731244787913,15.019289731422258
1601,Fatima,BELEN,63.0,0.417299407901766,150.97073901152157
1616,Las Violetas,BELEN,2.0,0.4887923178917995,4.09171733431933
1608,La Mota,BELEN,6.0,0.44860046992074737,13.374930260460935
1603,Belen,BELEN,89.0,0.5233559511508208,170.0563446432502
1614,La Palma,BELEN,38.0,0.33747573572222156,112.60068792405876
1618,Nueva Villa de Aburra,BELEN,5.0,0.18295447328531433,27.329203327007953
1605,San Bernardo,BELEN,33.0,0.5205880314849752,63.3898553254627
1612,La Gloria,BELEN,32.0,0.6379818583023658,50.15816607254354
1613,Altavista,BELEN,3.0,0.39078861840010076,7.676784478222732
1111,Lorena,LAURELES,139.0,0.42941052258652995,323.6995664725246
1117,Florida Nueva,LAURELES,112.0,0.24613647067571542,455.0321197526225
1112,El Velodromo,LAURELES,81.0,0.3713379659445819,218.1301332708015
1115,Cuarta Brigada,LAURELES,6.0,0.3249904815595069,18.462079169852178
1116,U.D. Atanasio Girardot,LAURELES,6.0,0.43964249891638923,13.64745222490666
1103,Naranjal,LAURELES,87.0,0.4718036088794248,184.39875906552024
1113,El Estadio,LAURELES,108.0,0.3602098788822006,299.8252028377024
1104,San Joaquin,LAURELES,121.0,0.3290011741317029,367.779842486405
1102,Suramericana,LAURELES,48.0,0.4507240549783652,106.49531452743076
1106,Universidad Pontificia Bolivariana,LAURELES,15.0,0.1827566315290873,82.07636502433904
1114,Los Colores,LAURELES,29.0,0.5952006214782388,48.72306740536606
1109,Las Acacias,LAURELES,107.0,0.3262294827112694,327.9899753717255
1101,Carlos E. Restrepo,LAURELES,16.0,0.4969365731325552,32.19726795140129
1107,Bolivariana,LAURELES,257.0,0.3241176099615109,792.922050827534
