id,lat,lon,room_type,property_type,reviews_count,nightly_usd,city
1476575809727244959,6.2433,-75.5601,Entire home/apt,Entire condo,36,41.2,Medellin
1141581617342418742,6.1989,-75.5693,Entire home/apt,Entire rental unit,53,117.17,Medellin
1136956035985631575,6.2475,-75.598,Private room,Private room in rental unit,83,20.61,Medellin
47746562,6.18995,-75.56492,Entire home/apt,Entire serviced apartment,115,110.0,Medellin
904964348271091589,6.2441,-75.5881,Private room,Private room in bed and breakfast,1,21.86,Medellin
751988478902298191,6.25666,-75.55992,Private room,Private room in casa particular,13,21.75,Medellin
54409434,6.2467,-75.5551,Entire home/apt,Entire loft,75,48.59,Medellin
1295811188302392098,6.21234,-75.5621,Entire home/apt,Entire rental unit,57,115.6,Medellin
48303356,6.2214,-75.56843,Private room,Private room in condo,35,21.43,Medellin
1729482738761334649,6.205,-75.5813,Private room,Private room in guesthouse,0,20.27,Medellin
46775700,6.178,-75.5796,Private room,Private room in rental unit,39,22.12,Medellin
593665933614650758,6.2284,-75.6008,Private room,Private room in home,38,20.27,Medellin
31021511,6.2299,-75.6033,Entire home/apt,Entire rental unit,62,42.15,Medellin
1699748719490038679,6.165811061311158,-75.59057944708212,Entire home/apt,Entire rental unit,2,49.22,Medellin
1331334375325265431,6.254470508843661,-75.60082990861952,Entire home/apt,Entire rental unit,30,42.81,Medellin
1199189156563660120,6.202,-75.5856,Entire home/apt,Entire rental unit,61,46.47,Medellin
1263263590417284648,6.2444192246959185,-75.5837260687345,Entire home/apt,Entire rental unit,9,42.56,Medellin
711459334848995544,6.2612496163839,-75.56257620523081,Entire home/apt,Entire loft,10,42.84,Medellin
1600861844443976595,6.2617,-75.5958,Entire home/apt,Entire loft,5,42.38,Medellin
37802904,6.22133,-75.58756,Entire home/apt,Entire rental unit,43,40.16,Medellin
1108893365545907288,6.23488,-75.6008,Entire home/apt,Entire rental unit,3,40.47,Medellin
629091189523326667,6.23862,-75.54746,Entire home/apt,Entire home,1,42.38,Medellin
1106468398875360971,6.1965,-75.5799,Private room,Room in hotel,69,42.85,Medellin
45936990,6.24605860127155,-75.56546369238275,Entire home/apt,Entire rental unit,64,43.25,Medellin
1203692003315619956,6.26542,-75.59512,Entire home/apt,Entire serviced apartment,79,40.18,Medellin
732551505180425876,6.17414,-75.58168,Entire home/apt,Entire serviced apartment,39,43.8,Medellin
53442115,6.16627,-75.59012,Entire home/apt,Entire rental unit,57,43.8,Medellin
631825529877392556,6.23509,-75.59156,Entire home/apt,Entire guest suite,75,42.15,Medellin
