barrio,localidad,area_has,listing_count,area_km2,density_per_km2,estrato_predominante,total_viviendas,log_density,pct_homes_on_airbnb,log_pct_homes,saturation_rank,estrato_rank,displacement_risk_index
MONTES,Suroriental,61.44,2.0,0.6139045465581182,3.257835458644319,3.0,2673.0,1.448760922851058,0.07482229704451926,0.07215534284037055,0.5113636363636364,0.6420454545454546,-0.13068181818181823
LAS PALMAS,Suroriental,51.91,2.0,0.5186916087228397,3.855855707642053,3.0,2802.0,1.5801853390739684,0.07137758743754462,0.06894528529645495,0.5,0.6420454545454546,-0.14204545454545459
EL CARMEN,Suroccidente,50.76,2.0,0.5071593922924992,3.943533394815884,3.0,2820.0,1.5980803376302783,0.07092198581560284,0.06851994643675606,0.4943181818181818,0.6420454545454546,-0.14772727272727276
ALTOS DEL PRADO,Norte - Centro Historico,129.44,79.0,1.2933568024745008,61.08136582948658,6.0,5008.0,4.12844587675225,1.5774760383386581,0.946810640391918,0.8181818181818182,0.9715909090909091,-0.15340909090909083
EL VALLE,Suroccidente,28.05,1.0,0.2802449186332816,3.5683073394403406,3.0,1454.0,1.5191427510537436,0.0687757909215956,0.06651387283412807,0.48863636363636365,0.6420454545454546,-0.15340909090909094
SANTA MONICA,Riomar,10.06,8.0,0.1005456290927286,79.56586549000521,6.0,518.0,4.389075054722192,1.5444015444015444,0.9338954728029695,0.8125,0.9715909090909091,-0.15909090909090906
ALTOS DE RIOMAR,Riomar,53.37,43.0,0.5332441624417574,80.638482385068,6.0,2933.0,4.402300748658967,1.4660756904193657,0.9026280978718296,0.8068181818181818,0.9715909090909091,-0.1647727272727273
BUENA ESPERANZA,Suroccidente,29.29,1.0,0.2926696870630574,3.4168212295403997,3.0,1672.0,1.4854202585194356,0.05980861244019139,0.05808833752037933,0.4715909090909091,0.6420454545454546,-0.17045454545454547
EL GOLF,Norte - Centro Historico,20.06,8.0,0.2004796762466151,39.904294289457034,6.0,618.0,3.7112350523894326,1.2944983818770228,0.8305142496343821,0.7954545454545454,0.9715909090909091,-0.17613636363636365
RIOMAR,Riomar,42.02,13.0,0.419897784095522,30.959915704253028,6.0,1051.0,3.464482483355579,1.236917221693625,0.8050986776631184,0.7784090909090909,0.9715909090909091,-0.19318181818181812
LA MAGDALENA,Suroriental,43.28,1.0,0.4323957719716682,2.3126960641639274,3.0,2324.0,1.197762378742293,0.04302925989672978,0.042129229217403225,0.44886363636363635,0.6420454545454546,-0.19318181818181823
PASADENA,Suroriental,17.6,0.0,0.1758300043144338,0.0,2.0,380.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
VILLA BLANCA,"Suroriente, Metropolitana",19.73,0.0,0.1971525609112644,0.0,2.0,1783.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
EL MILAGRO,Suroriental,7.31,0.0,0.0730873374657924,0.0,2.0,767.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
LAS CAYENAS,Metropolitana,12.89,0.0,0.1288005450240881,0.0,2.0,1257.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
VILLA DEL CARMEN,Suroriental,2.85,0.0,0.0285056772461562,0.0,2.0,276.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
BELLA ARENA,Suroriental,10.43,0.0,0.1041694662336996,0.0,2.0,995.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
LAS DUNAS,Suroriental,3.96,0.0,0.0396068807345507,0.0,2.0,346.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
VILLATE,Suroccidente,17.22,0.0,0.1720576849325185,0.0,2.0,1017.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
VILLA SEVILLA,Metropolitana,8.08,0.0,0.0806958691629406,0.0,2.0,318.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
LOS LAURELES,Suroriental,4.5,0.0,0.04497706317965,0.0,2.0,432.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
LAS NIEVES,Suroriental,140.77,0.0,1.4065662934950391,0.0,2.0,6608.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
JOSE ANTONIO GALAN,Suroriental,28.91,0.0,0.2888425570470884,0.0,2.0,2285.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
KENNEDY,Metropolitana,22.18,0.0,0.2215891955597827,0.0,2.0,1511.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
BARLOVENTO,Norte - Centro Historico,10.41,0.0,0.104004151616269,0.0,2.0,478.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
SANTA HELENA,Suroriental,23.06,0.0,0.2304174188739823,0.0,2.0,439.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
BUENOS AIRES,Metropolitana,26.99,0.0,0.2696686660224493,0.0,2.0,1869.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
LIMON,Suroriental,5.07,0.0,0.0506789806512139,0.0,2.0,430.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
LAS PALMERAS,Suroriental,12.46,0.0,0.1244568483509991,0.0,2.0,1449.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
LOS TRUPILLOS,Suroriental,16.47,0.0,0.1645478199200642,0.0,2.0,807.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
SIAPE,Riomar,12.6,0.0,0.1258701312329648,0.0,2.0,385.0,0.0,0.0,0.0,0.20738636363636365,0.41761363636363635,-0.2102272727272727
SAN ROQUE,Suroriental,103.25,1.0,1.0316495034621898,0.9693214571848532,3.0,4797.0,0.6776890454402805,0.020846362309776944,0.02063205020025345,0.42045454545454547,0.6420454545454546,-0.22159090909090912
PALMAS DEL RIO,Riomar,22.82,5.0,0.2279689825443596,21.932808332936563,6.0,899.0,3.1325685635499902,0.5561735261401557,0.44222994019386086,0.7159090909090909,0.9715909090909091,-0.2556818181818181
LOMA FRESCA,Suroccidente,8.46,0.0,0.0845064282222102,0.0,3.0,471.0,0.0,0.0,0.0,0.20738636363636365,0.6420454545454546,-0.43465909090909094
LOS CONTINENTES,Metropolitana,14.24,0.0,0.1422950458152415,0.0,3.0,798.0,0.0,0.0,0.0,0.20738636363636365,0.6420454545454546,-0.43465909090909094
NUEVA GRANADA,Suroccidente,24.45,0.0,0.2442889893358658,0.0,3.0,1149.0,0.0,0.0,0.0,0.20738636363636365,0.6420454545454546,-0.43465909090909094
TAYRONA,Suroriental,18.79,0.0,0.1877369640936298,0.0,3.0,806.0,0.0,0.0,0.0,0.20738636363636365,0.6420454545454546,-0.43465909090909094
CIUDADELA DE LA SALUD,Suroccidente,13.74,0.0,0.1373271123299148,0.0,3.0,259.0,0.0,0.0,0.0,0.20738636363636365,0.6420454545454546,-0.43465909090909094
LAS COLINAS,Suroccidente,7.74,0.0,0.0773183272450689,0.0,3.0,174.0,0.0,0.0,0.0,0.20738636363636365,0.6420454545454546,-0.43465909090909094
PUMAREJO,Suroccidente,17.28,0.0,0.1726276874915817,0.0,3.0,960.0,0.0,0.0,0.0,0.20738636363636365,0.6420454545454546,-0.43465909090909094
LOS PINOS,Suroccidente,14.69,0.0,0.146804239891119,0.0,3.0,772.0,0.0,0.0,0.0,0.20738636363636365,0.6420454545454546,-0.43465909090909094
MERCEDES SUR,Suroccidente,7.67,0.0,0.0766038444176465,0.0,4.0,315.0,0.0,0.0,0.0,0.20738636363636365,0.8153409090909091,-0.6079545454545454
LOS ANGELES II,Suroccidente,21.75,0.0,0.2173589026338317,0.0,,1366.0,0.0,0.0,0.0,0.20738636363636365,,
LOS ANGELES I,Suroccidente,9.46,0.0,0.0944971113829988,0.0,,545.0,0.0,0.0,0.0,0.20738636363636365,,
ZONA FRANCA,"Suroriente, Norte - Centro Historico",320.71,0.0,3.204532267499222,0.0,1.0,48.0,0.0,,,,0.1590909090909091,
BETANIA,Norte - Centro Historico,22.25,14.0,0.2222891584995326,62.98102927961481,,1335.0,4.158586621913301,1.0486891385767791,0.7172001440217317,0.7670454545454546,,
INDUSTRIAL VIA 40,Norte - Centro Historico,229.59,10.0,2.293989664744095,4.359217547353486,2.0,53.0,1.6788179844552331,,,,0.41761363636363635,
INDUSTRIAL NORTE,Riomar,280.99,2.0,2.807633119839941,0.7123437837611835,2.0,48.0,0.5378630658319874,,,,0.41761363636363635,
BERNARDO HOYOS,Suroccidente,3.56,0.0,0.0355745882123271,0.0,,74.0,0.0,,,,,
VILLA SAN CARLOS II,Suroccidente,1.68,0.0,0.0167630079374663,0.0,1.0,23.0,0.0,,,,0.1590909090909091,
LOS ANGELES III,Suroccidente,11.82,0.0,0.118134127935698,0.0,,1093.0,0.0,0.0,0.0,0.20738636363636365,,
